Month,Year,Target
Jan,2022,47000
Feb,2022,48000
Mar,2022,49000
Apr,2022,50000
May,2022,49500
Jun,2022,2300
Jul,2022,52000
Aug,2022,54000
Sep,2022,55000
Oct,2022,55500
Nov,2022,57000
Dec,2022,60000
Jan,2023,53000
Feb,2023,55000
Mar,2023,57000
Apr,2023,59000
May,2023,60000
Jun,2023,61000
Jul,2023,62000
Aug,2023,61000
Sep,2023,62000
Oct,2023,65000
Nov,2023,65000
Dec,2023,69000
Jan,2024,65000
Feb,2024,64000
Mar,2024,62000
Apr,2024,63000
May,2024,66000
Jun,2024,65000
Jul,2024,64000
Aug,2024,67000
